epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
163,218.286,0.66937,0.55847,0.81843,0.96266,1,0.995,0.71117,1.03786,0.56767,1.03545,0.000775822,0.000775822,0.000775822
164,219.635,0.62037,0.52382,0.81173,0.96264,1,0.995,0.71034,1.08621,0.57589,1.05257,0.000770321,0.000770321,0.000770321
165,220.94,0.69902,0.57324,0.83035,0.96264,1,0.995,0.71034,1.08621,0.57589,1.05257,0.00076482,0.00076482,0.00076482
166,222.303,0.67267,0.54053,0.81718,0.97801,1,0.995,0.72824,1.04832,0.52589,1.0629,0.000759318,0.000759318,0.000759318
167,223.612,0.61576,0.538,0.82664,0.97801,1,0.995,0.72824,1.04832,0.52589,1.0629,0.000753817,0.000753817,0.000753817
168,224.942,0.61357,0.57334,0.83041,0.99229,1,0.995,0.74057,1.03162,0.49552,1.05487,0.000748316,0.000748316,0.000748316
169,226.248,0.63537,0.54676,0.82677,0.99229,1,0.995,0.74057,1.03162,0.49552,1.05487,0.000742815,0.000742815,0.000742815
170,227.545,0.62262,0.52912,0.80808,0.98585,1,0.995,0.71323,1.04862,0.49114,1.07938,0.000737314,0.000737314,0.000737314
171,228.842,0.58942,0.52781,0.82113,0.98585,1,0.995,0.71323,1.04862,0.49114,1.07938,0.000731813,0.000731813,0.000731813
172,230.177,0.61689,0.54447,0.8326,0.98508,1,0.995,0.70518,1.09018,0.49986,1.12156,0.000726312,0.000726312,0.000726312
173,231.487,0.59086,0.52945,0.84301,0.98508,1,0.995,0.70518,1.09018,0.49986,1.12156,0.000720811,0.000720811,0.000720811
174,232.838,0.56468,0.5162,0.8329,0.98554,1,0.995,0.6786,1.07808,0.49819,1.12004,0.00071531,0.00071531,0.00071531
175,234.138,0.58422,0.50453,0.8349,0.98554,1,0.995,0.6786,1.07808,0.49819,1.12004,0.000709809,0.000709809,0.000709809
176,235.455,0.51743,0.50926,0.82745,0.98574,1,0.995,0.69331,1.01678,0.49844,1.10115,0.000704307,0.000704307,0.000704307
177,236.787,0.61335,0.53731,0.82537,0.98574,1,0.995,0.69331,1.01678,0.49844,1.10115,0.000698806,0.000698806,0.000698806
178,238.117,0.46559,0.49497,0.78946,0.98585,1,0.995,0.69168,1.02799,0.49771,1.0959,0.000693305,0.000693305,0.000693305
179,239.434,0.568,0.50999,0.81798,0.98585,1,0.995,0.69168,1.02799,0.49771,1.0959,0.000687804,0.000687804,0.000687804
180,240.76,0.57527,0.50052,0.82959,0.99067,1,0.995,0.70158,0.98626,0.46578,1.07835,0.000682303,0.000682303,0.000682303
181,242.068,0.50669,0.49635,0.81106,0.99067,1,0.995,0.70158,0.98626,0.46578,1.07835,0.000676802,0.000676802,0.000676802
182,243.398,0.56088,0.50336,0.80076,0.99247,1,0.995,0.65363,1.06127,0.49172,1.11211,0.000671301,0.000671301,0.000671301
183,244.69,0.57472,0.50319,0.81025,0.99247,1,0.995,0.65363,1.06127,0.49172,1.11211,0.0006658,0.0006658,0.0006658
184,246.024,0.55571,0.49543,0.80353,0.99227,1,0.995,0.65363,1.05496,0.49585,1.11203,0.000660299,0.000660299,0.000660299
185,247.323,0.52717,0.48718,0.81845,0.99227,1,0.995,0.65363,1.05496,0.49585,1.11203,0.000654798,0.000654798,0.000654798
186,248.66,0.59209,0.50582,0.82063,0.99282,1,0.995,0.6746,0.96445,0.48185,1.08102,0.000649297,0.000649297,0.000649297
